timestamp,env,model,seed,turn,reward,components,parse_ok,usd_cost,prompt_tokens,completion_tokens,latency_s,error,meta
2026-04-24T13:45:52.403993+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4,2,1,0.3884,"nmse=0.146, support=0.100, conformal=1.000",True,0.0029775,867,54,1.618,,
2026-04-24T13:45:54.021900+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4,2,2,0.3863,"nmse=0.141, support=0.100, conformal=1.000",True,0.0039325,1249,54,1.636,,
2026-04-24T13:45:55.658662+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4,2,3,0.3864,"nmse=0.141, support=0.100, conformal=1.000",True,0.0022955,1631,54,1.568,,
2026-04-24T13:45:52.780841+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-opus-4.7,0,1,0.3258,"nmse=0.065, support=0.100, conformal=0.900",True,0.00679,1013,69,1.622,,
2026-04-24T13:45:54.403488+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-opus-4.7,0,2,0.3388,"nmse=0.097, support=0.000, conformal=1.000",True,0.009275,1510,69,1.941,,
2026-04-24T13:45:56.345240+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-opus-4.7,0,3,0.3388,"nmse=0.097, support=0.000, conformal=1.000",True,0.01178,2011,69,1.054,,
2026-04-24T13:45:52.921418+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-opus-4.7,1,1,0.293,"nmse=0.058, support=0.000, conformal=0.900",True,0.006795,1014,69,1.995,,
2026-04-24T13:45:54.917316+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-opus-4.7,1,2,0.3324,"nmse=0.081, support=0.100, conformal=0.900",True,0.0093,1515,69,1.812,,
2026-04-24T13:45:56.729660+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-opus-4.7,1,3,0.3377,"nmse=0.094, support=0.100, conformal=0.900",True,0.011835,2022,69,1.127,,
2026-04-24T13:45:51.312116+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4,1,1,0.27,"nmse=0.000, support=0.000, conformal=0.900",True,0.0032325,867,71,1.766,,
2026-04-24T13:45:53.078637+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4,1,2,0.27,"nmse=0.000, support=0.000, conformal=0.900",True,0.004115,1262,64,1.998,,
2026-04-24T13:45:55.078230+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4,1,3,0.33,"nmse=0.000, support=0.100, conformal=1.000",True,0.002508,1656,64,3.722,,
2026-04-24T13:45:52.933405+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-opus-4.7,2,1,0.2862,"nmse=0.041, support=0.000, conformal=0.900",True,0.006785,1012,69,2.722,,
2026-04-24T13:45:55.655548+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-opus-4.7,2,2,0.2907,"nmse=0.052, support=0.000, conformal=0.900",True,0.009225,1500,69,1.677,,
2026-04-24T13:45:57.332603+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-opus-4.7,2,3,0.2907,"nmse=0.052, support=0.000, conformal=0.900",True,0.01166,1987,69,1.65,,
2026-04-24T13:45:50.898403+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-sonnet-4.6,1,1,,,False,0.011673,906,597,15.365,parse:JSON parse error: Expecting property name enclosed in double quotes at position 1,
2026-04-24T13:45:50.931352+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-sonnet-4.6,2,1,,,False,0.012843,906,675,18.277,parse:JSON parse error: Expecting property name enclosed in double quotes at position 1,
2026-04-24T13:45:57.399416+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4-nano,0,1,,,False,0.00307155,2314,2087,13.292,"parse:expected 32 entries in 'image[9]', got 34",
2026-04-24T13:45:58.983673+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4-mini,0,1,,,False,0.010731,2314,1999,11.825,"parse:expected 32 entries in 'image', got 31",
2026-04-24T13:45:57.857836+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4-nano,1,1,,,False,0.00371905,2314,2605,17.379,"parse:expected 32 entries in 'image', got 31",
2026-04-24T13:45:58.800257+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4-nano,2,1,,,False,0.00380405,2314,2673,18.005,"parse:expected 32 entries in 'image', got 34",
2026-04-24T13:45:46.986872+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-sonnet-4.6,0,1,0.353,"nmse=0.133, support=0.000, conformal=1.000",True,0.013788,906,738,16.841,,
2026-04-24T13:46:03.828204+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-sonnet-4.6,0,2,0.3821,"nmse=0.130, support=0.100, conformal=1.000",True,0.013899,1983,530,9.192,,
2026-04-24T13:46:13.020626+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-sonnet-4.6,0,3,0.3514,"nmse=0.128, support=0.000, conformal=1.000",True,0.018486,2852,662,13.11,,
2026-04-24T13:45:57.229436+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-haiku-4.5,2,1,0.5947,"psnr=0.253, ssim=0.675, conformal=0.970",True,0.012653,2348,2061,21.346,,
2026-04-24T13:46:18.590545+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-haiku-4.5,2,2,,,False,0.01656,6575,1997,18.439,"parse:expected 32 entries in 'image', got 31",
2026-04-24T13:45:56.059002+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-haiku-4.5,1,1,0.711,"psnr=0.467, ssim=0.812, conformal=0.935",True,0.012653,2348,2061,20.551,,
2026-04-24T13:46:16.624437+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-haiku-4.5,1,2,,,False,0.016559,6574,1997,20.731,"parse:expected 32 entries in 'image', got 31",
2026-04-24T13:46:09.208767+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4-mini,2,1,0.5946,"psnr=0.253, ssim=0.675, conformal=0.970",True,0.011019,2314,2063,11.441,,
2026-04-24T13:46:20.663009+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4-mini,2,2,0.5948,"psnr=0.252, ssim=0.675, conformal=0.972",True,0.0129429,6528,2057,9.897,,
2026-04-24T13:46:30.573678+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4-mini,2,3,0.5951,"psnr=0.252, ssim=0.675, conformal=0.973",True,0.0116106,10742,2057,10.343,,
2026-04-24T13:46:06.264137+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4-mini,1,1,0.7111,"psnr=0.465, ssim=0.814, conformal=0.936",True,0.011019,2314,2063,13.102,,
2026-04-24T13:46:19.380067+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4-mini,1,2,0.7121,"psnr=0.468, ssim=0.815, conformal=0.935",True,0.01294215,6527,2057,10.465,,
2026-04-24T13:46:29.858862+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4-mini,1,3,0.712,"psnr=0.467, ssim=0.815, conformal=0.936",True,0.0116091,10740,2057,11.98,,
2026-04-24T13:45:53.064242+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-haiku-4.5,0,1,0.572,"psnr=0.226, ssim=0.609, conformal=0.996",True,0.012653,2348,2061,19.681,,
2026-04-24T13:46:12.760039+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-haiku-4.5,0,2,0.4755,"psnr=0.168, ssim=0.512, conformal=0.848",True,0.016885,6580,2061,16.385,,
2026-04-24T13:46:29.159270+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-haiku-4.5,0,3,0.2989,"psnr=0.052, ssim=0.434, conformal=0.494",True,0.02112,10815,2061,18.913,,
2026-04-24T13:46:48.076809+00:00,phase-retrieval-multiturn,anthropic/claude-haiku-4.5,0,1,0.3875,"nmse=0.106, support=0.250, conformal=0.900",True,0.000695,465,46,1.909,,
2026-04-24T13:46:49.986495+00:00,phase-retrieval-multiturn,anthropic/claude-haiku-4.5,0,2,0.3859,"nmse=0.102, support=0.250, conformal=0.900",True,0.000904,674,46,1.245,,
2026-04-24T13:46:51.231686+00:00,phase-retrieval-multiturn,anthropic/claude-haiku-4.5,0,3,0.3872,"nmse=0.105, support=0.250, conformal=0.900",True,0.001113,883,46,1.498,,
2026-04-24T13:46:52.730713+00:00,phase-retrieval-multiturn,anthropic/claude-haiku-4.5,1,1,0.2987,"nmse=0.072, support=0.000, conformal=0.900",True,0.000695,465,46,1.437,,
2026-04-24T13:46:54.168116+00:00,phase-retrieval-multiturn,anthropic/claude-haiku-4.5,1,2,0.387,"nmse=0.105, support=0.250, conformal=0.900",True,0.000904,674,46,1.365,,
2026-04-24T13:46:55.532924+00:00,phase-retrieval-multiturn,anthropic/claude-haiku-4.5,1,3,0.2981,"nmse=0.070, support=0.000, conformal=0.900",True,0.001113,883,46,1.65,,
2026-04-24T13:46:57.183804+00:00,phase-retrieval-multiturn,anthropic/claude-haiku-4.5,2,1,0.3023,"nmse=0.081, support=0.000, conformal=0.900",True,0.000695,465,46,1.048,,
2026-04-24T13:46:58.232420+00:00,phase-retrieval-multiturn,anthropic/claude-haiku-4.5,2,2,0.3098,"nmse=0.099, support=0.000, conformal=0.900",True,0.000905,675,46,1.467,,
2026-04-24T13:46:59.699927+00:00,phase-retrieval-multiturn,anthropic/claude-haiku-4.5,2,3,0.3083,"nmse=0.096, support=0.000, conformal=0.900",True,0.001115,885,46,1.529,,
2026-04-24T13:47:01.229091+00:00,phase-retrieval-multiturn,openai/gpt-5.4-nano,0,1,0.3061,"nmse=0.090, support=0.000, conformal=0.900",True,0.0001225,425,30,0.749,,
2026-04-24T13:47:01.978817+00:00,phase-retrieval-multiturn,openai/gpt-5.4-nano,0,2,0.3061,"nmse=0.090, support=0.000, conformal=0.900",True,0.00015995,606,31,2.291,,
2026-04-24T13:47:04.270072+00:00,phase-retrieval-multiturn,openai/gpt-5.4-nano,0,3,0.3061,"nmse=0.090, support=0.000, conformal=0.900",True,0.00019635,788,31,0.738,,
2026-04-24T13:47:05.008855+00:00,phase-retrieval-multiturn,openai/gpt-5.4-nano,1,1,0.4045,"nmse=0.149, support=0.250, conformal=0.900",True,0.0001225,425,30,0.75,,
2026-04-24T13:47:05.759205+00:00,phase-retrieval-multiturn,openai/gpt-5.4-nano,1,2,0.3084,"nmse=0.096, support=0.000, conformal=0.900",True,0.0001587,606,30,0.943,,
2026-04-24T13:47:06.702291+00:00,phase-retrieval-multiturn,openai/gpt-5.4-nano,1,3,0.3073,"nmse=0.093, support=0.000, conformal=0.900",True,0.0001949,787,30,0.937,,
2026-04-24T13:47:07.639650+00:00,phase-retrieval-multiturn,openai/gpt-5.4-nano,2,1,0.3918,"nmse=0.117, support=0.250, conformal=0.900",True,0.00012375,425,31,1.089,,
2026-04-24T13:47:08.729729+00:00,phase-retrieval-multiturn,openai/gpt-5.4-nano,2,2,0.3866,"nmse=0.104, support=0.250, conformal=0.900",True,0.00016035,608,31,0.765,,
2026-04-24T13:47:09.495775+00:00,phase-retrieval-multiturn,openai/gpt-5.4-nano,2,3,0.3864,"nmse=0.103, support=0.250, conformal=0.900",True,0.00019695,791,31,0.779,,
2026-04-24T13:47:10.275902+00:00,phase-retrieval-multiturn,openai/gpt-5.4-mini,0,1,0.324,"nmse=0.135, support=0.000, conformal=0.900",True,0.00048075,425,36,1.522,,
2026-04-24T13:47:11.798192+00:00,phase-retrieval-multiturn,openai/gpt-5.4-mini,0,2,0.3195,"nmse=0.124, support=0.000, conformal=0.900",True,0.00059025,607,30,1.427,,
2026-04-24T13:47:13.224905+00:00,phase-retrieval-multiturn,openai/gpt-5.4-mini,0,3,0.3195,"nmse=0.124, support=0.000, conformal=0.900",True,0.00072675,789,30,1.269,,
2026-04-24T13:47:14.494808+00:00,phase-retrieval-multiturn,openai/gpt-5.4-mini,1,1,0.2866,"nmse=0.041, support=0.000, conformal=0.900",True,0.00048075,425,36,1.42,,
2026-04-24T13:47:15.914499+00:00,phase-retrieval-multiturn,openai/gpt-5.4-mini,1,2,0.2834,"nmse=0.034, support=0.000, conformal=0.900",True,0.0006165,606,36,1.062,,
2026-04-24T13:47:16.976591+00:00,phase-retrieval-multiturn,openai/gpt-5.4-mini,1,3,0.2785,"nmse=0.021, support=0.000, conformal=0.900",True,0.00072975,787,31,1.003,,
2026-04-24T13:47:17.980282+00:00,phase-retrieval-multiturn,openai/gpt-5.4-mini,2,1,0.3158,"nmse=0.115, support=0.000, conformal=0.900",True,0.00048075,425,36,1.193,,
2026-04-24T13:47:19.173178+00:00,phase-retrieval-multiturn,openai/gpt-5.4-mini,2,2,0.3156,"nmse=0.114, support=0.000, conformal=0.900",True,0.00059025,607,30,1.165,,
2026-04-24T13:47:20.338442+00:00,phase-retrieval-multiturn,openai/gpt-5.4-mini,2,3,0.3156,"nmse=0.114, support=0.000, conformal=0.900",True,0.00072675,789,30,0.837,,
2026-04-24T13:46:16.805856+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4,0,1,0.4581,"psnr=0.071, ssim=0.672, conformal=0.761",True,0.03664,2314,2057,18.825,,
2026-04-24T13:46:35.644601+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4,0,2,0.4713,"psnr=0.115, ssim=0.665, conformal=0.753",True,0.0376685,6527,2057,25.356,,
2026-04-24T13:47:01.016663+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4,0,3,0.6038,"psnr=0.226, ssim=0.719, conformal=0.992",True,0.0386995,10741,2057,22.625,,
2026-04-24T13:46:26.132035+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4,1,1,0.5821,"psnr=0.198, ssim=0.685, conformal=0.992",True,0.03664,2314,2057,20.397,,
2026-04-24T13:46:46.547467+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4,1,2,0.7121,"psnr=0.468, ssim=0.815, conformal=0.935",True,0.037676,6530,2057,19.288,,
2026-04-24T13:47:05.848458+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4,1,3,0.7121,"psnr=0.468, ssim=0.815, conformal=0.935",True,0.0387045,10743,2057,19.954,,
2026-04-24T13:46:37.356390+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-opus-4.7,0,1,0.6247,"psnr=0.242, ssim=0.761, conformal=0.999",True,0.064735,2492,2091,16.835,,
2026-04-24T13:46:54.205169+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-opus-4.7,0,2,0.6182,"psnr=0.244, ssim=0.738, conformal=0.998",True,0.088725,7290,2091,19.07,,
2026-04-24T13:47:13.291247+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-opus-4.7,0,3,0.6264,"psnr=0.252, ssim=0.755, conformal=0.997",True,0.112805,12106,2091,21.309,,
2026-04-24T13:47:34.606075+00:00,phase-retrieval-multiturn,openai/gpt-5.4,0,1,0.3952,"nmse=0.125, support=0.250, conformal=0.900",True,0.0015125,425,30,1.179,,
